Date,open,high,low,close,Volume
2015-01-02,0.1303130610454022,0.13118811881188108,0.12406927225805497,0.1351053840000176,0.0003572038702262809
2015-01-05,0.1266127403835,0.1434653707069926,0.13473537717366346,0.15299288803466915,0.0012165639058431305
2015-01-06,0.14981500838340533,0.15643564356435635,0.15828138569082495,0.16838214072327795,0.0002510780826952844
2015-01-07,0.1655165274071555,0.1556435160117573,0.16542565540011878,0.159688152848092,7.506458142436338e-05
2015-01-08,0.15331535790561102,0.15217816947710383,0.16109890298862206,0.15748974045754593,0.00023813591348418724
2015-01-09,0.15741574292940874,0.1566336150216583,0.16512385751012437,0.16508440015253,0.00011130265521543535
2015-01-12,0.17051702672459235,0.17069309347926986,0.17397868375831105,0.18177267035012368,0.00025884338422194265
2015-01-13,0.18551852467690244,0.17554460280012374,0.18524863011763615,0.18337164879953405,5.176867684438853e-05
2015-01-14,0.17591759040392452,0.1800000483446782,0.1805192348557525,0.18347155445639007,5.435711068660796e-05
2015-01-15,0.177817804561051,0.20099009900990095,0.18222991422650936,0.21375028757947012,0.00033649639948852547
2015-01-16,0.20242023678633925,0.21554450611076725,0.2112095130822078,0.22594182733911583,0.00011389108905765478
2015-01-20,0.2252225625068518,0.23297034537438122,0.22902001053897392,0.24322965346277403,0.00040638411322845
2015-01-21,0.24152411703219379,0.2391089108910891,0.24200039060532763,0.24273000319356552,0.0002018978396931153
2015-01-22,0.23952391730521905,0.2377227481048887,0.2387804761208714,0.24972510696248507,0.00033908483333074487
2015-01-23,0.24612467407023786,0.2354455928991337,0.24793722309091648,0.24163079699829249,5.953397837104681e-05
2015-01-26,0.2358235966433171,0.2263366094910273,0.23465492230270435,0.2284400786851586,6.729927989770509e-05
2015-01-27,0.22352231948942158,0.22742569422957915,0.23244112361675962,0.24073140211673127,5.176867684438853e-05
2015-01-28,0.23222326155126316,0.2225743057704208,0.2411954734001458,0.23493553218486962,0.46691981549643574
2015-01-29,0.2296230263226966,0.22118814298422018,0.20607772063366503,0.2036573765384435,0.1759694978956033
2015-01-30,0.20432045094346574,0.22009905824566833,0.2121151524159186,0.22754068380359738,0.022327830322984774
